City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,12.81,58,40,1.03,AR,1738791637
1,margate,51.3813,1.3862,5.94,89,100,0.45,GB,1738791663
2,saint-philippe,-21.3585,55.7679,27.65,81,30,4.31,RE,1738791664
3,keflavik,64.0049,-22.5624,6.24,70,100,21.61,IS,1738791665
4,port-aux-francais,-49.35,70.2167,7.32,95,99,9.41,TF,1738791667
5,hamilton,39.1834,-84.5333,1.08,88,100,3.13,US,1738791668
6,mineros,-17.1167,-63.2333,30.27,51,81,2.04,BO,1738791669
7,ketchikan,55.3422,-131.6461,1.99,55,0,5.66,US,1738791670
8,olonkinbyen,70.9221,-8.7187,-1.15,78,77,12.4,SJ,1738791671
9,papatowai,-46.5619,169.4708,13.98,58,56,2.46,NZ,1738791672
10,san patricio,28.017,-97.5169,27.97,59,80,7.47,US,1738791674
11,albany,42.6001,-73.9662,-4.64,50,25,1.34,US,1738791675
12,puerto natales,-51.7236,-72.4875,14.25,47,75,2.06,CL,1738791677
13,blackmans bay,-43.0167,147.3167,13.74,78,62,0.45,AU,1738791678
14,lebu,-37.6167,-73.65,18.46,81,1,4.78,CL,1738791447
15,qaqortoq,60.7167,-46.0333,-22.58,83,3,3.36,GL,1738791681
16,al matariyah,31.1829,32.0311,12.97,55,57,12.06,EG,1738791682
17,vuktyl,63.8567,57.3094,-7.29,96,100,1.82,RU,1738791683
18,tamanrasset,22.785,5.5228,13.95,62,40,1.03,DZ,1738791684
19,vorgashor,67.5833,63.95,-13.96,97,98,3.19,RU,1738791687
20,punta arenas,-53.15,-70.9167,15.06,41,0,6.69,CL,1738791590
21,nyaunglebin,17.95,96.7333,18.17,87,0,1.3,MM,1738791689
22,grytviken,-54.2811,-36.5092,1.62,95,98,5.64,GS,1738791690
23,puerto deseado,-47.7503,-65.8938,20.38,44,76,12.98,AR,1738791691
24,katerini,40.2719,22.5025,5.84,67,0,1.53,GR,1738791693
25,lihue,21.9789,-159.3672,24.3,69,20,4.63,US,1738791694
26,aasiaat,68.7098,-52.8699,-31.45,97,55,1.59,GL,1738791695
27,mil'kovo,55.6078,37.7956,-0.21,68,99,2.12,RU,1738791696
28,stanley,54.868,-1.6985,0.29,91,0,3.09,GB,1738791699
29,constitucion,-35.3333,-72.4167,20.55,54,11,7.17,CL,1738791700
30,vilhena,-12.7406,-60.1458,23.12,94,100,5.66,BR,1738791701
31,san antonio de pale,-1.4014,5.6325,27.44,79,100,3.07,GQ,1738791702
32,west island,-12.1568,96.8225,27.99,89,20,6.17,CC,1738791703
33,yarmouth,41.7057,-70.2286,-2.8,56,0,4.92,US,1738791704
34,adamstown,-25.066,-130.1015,25.29,78,4,6.37,PN,1738791706
35,dul'durga,50.6761,113.5931,-22.18,90,100,3.05,RU,1738791707
36,box elder,41.5005,-112.8764,6.03,47,38,11.55,US,1738791708
37,al mindak,20.1588,41.2834,12.79,86,56,0.53,SA,1738791709
38,east london,-33.0153,27.9116,21.31,90,99,2.4,ZA,1738791710
39,ust-nera,64.5667,143.2,-41.13,98,64,1.58,RU,1738791711
40,bredasdorp,-34.5322,20.0403,17.72,53,100,2.32,ZA,1738791713
41,alghero,40.5589,8.3181,9.43,71,0,2.06,IT,1738791714
42,port elizabeth,-33.918,25.5701,20.17,96,90,1.34,ZA,1738791715
43,tiksi,71.6872,128.8694,-30.31,97,100,3.27,RU,1738791716
44,isafjordur,66.0755,-23.124,-0.05,87,71,11.96,IS,1738791717
45,karoi,-16.8099,29.6925,18.33,83,96,1.65,ZW,1738791718
46,georgetown,5.4112,100.3354,26.96,78,20,1.03,MY,1738791720
47,tan-tan,28.438,-11.1032,15.31,58,0,6.28,MA,1738791721
48,san andres,12.5847,-81.7006,30.01,66,20,7.2,CO,1738791722
49,bethel,41.3712,-73.414,-0.61,43,93,1.34,US,1738791723
50,mirabad,30.4362,61.8383,10.59,23,0,3.81,AF,1738791726
51,ribeira grande,38.5167,-28.7,18.22,94,75,5.36,PT,1738791727
52,longyearbyen,78.2186,15.6401,-0.09,59,20,4.63,SJ,1738791729
53,kudahuvadhoo,2.6708,72.8944,27.39,70,19,5.73,MV,1738791730
54,solikamsk,59.6196,56.7729,-9.74,92,100,1.79,RU,1738791731
55,rongelap,11.1635,166.8941,26.59,83,93,9.08,MH,1738791733
56,ljusdal,61.8288,16.0913,-1.13,80,10,2.65,SE,1738791734
57,crane,31.3974,-102.3501,28.49,17,0,3.49,US,1738791735
58,qulsary,46.9531,54.0198,-3.87,91,7,6.07,KZ,1738791736
59,puerto ayora,-0.7393,-90.3518,25.86,92,23,2.24,EC,1738791737
60,celestun,20.8667,-90.4,26.45,69,8,7.2,MX,1738791739
61,inirida,3.8653,-67.9239,27.52,76,83,2.08,CO,1738791741
62,bizerte,37.2744,9.8739,9.0,93,40,0.0,TN,1738791742
63,udachny,66.4167,112.4,-23.2,99,100,1.81,RU,1738791743
64,hawaiian paradise park,19.5933,-154.9731,24.37,73,75,4.12,US,1738791744
65,papar,5.7333,115.9333,25.0,87,99,0.57,MY,1738791746
66,vadso,70.0744,29.7487,-3.91,86,75,9.77,NO,1738791747
67,edinburgh of the seven seas,-37.0676,-12.3116,18.88,95,89,12.04,SH,1738791748
68,iqaluit,63.7506,-68.5145,-31.15,69,75,1.54,CA,1738791749
69,college,64.8569,-147.8028,-8.85,80,100,0.0,US,1738791750
70,kuta,-8.7233,115.1723,27.97,94,20,2.57,ID,1738791752
71,talnakh,69.4865,88.3972,-23.23,97,82,3.32,RU,1738791753
72,ust'-ilimsk,58.0006,102.6619,-23.49,97,100,2.07,RU,1738791577
73,susuman,62.7833,148.1667,-44.81,96,68,0.34,RU,1738791756
74,moree,-29.4667,149.85,26.71,45,1,3.44,AU,1738791758
75,kayangel,8.0823,134.7173,27.83,81,100,8.68,PW,1738791759
76,mili,6.0815,171.735,27.08,83,72,9.67,MH,1738791760
77,mitu,1.1983,-70.1733,23.32,92,100,2.0,CO,1738791761
78,kindu,-2.95,25.95,21.61,98,99,1.24,CD,1738791762
79,anna regina,7.2644,-58.5077,25.42,84,71,3.45,GY,1738791763
80,wailua homesteads,22.0669,-159.378,23.96,73,20,4.63,US,1738791765
81,atafu village,-8.5421,-172.5159,28.26,75,18,7.46,TK,1738791767
82,arraial do cabo,-22.9661,-42.0278,26.98,65,20,8.23,BR,1738791768
83,kedougou,12.5579,-12.1743,25.6,15,100,1.61,SN,1738791769
84,hithadhoo,-0.6,73.0833,27.67,65,32,5.74,MV,1738791770
85,badger,64.8,-147.5333,-8.9,86,100,0.0,US,1738791772
86,ola,59.5833,151.2833,-24.35,80,9,3.69,RU,1738791773
87,jamestown,42.097,-79.2353,-4.13,62,0,2.57,US,1738791542
88,padang,-0.9492,100.3543,25.03,87,95,1.89,ID,1738791775
89,borogontsy,62.6683,131.1683,-42.79,100,53,1.13,RU,1738791776
90,monki,53.405,22.7979,-0.73,82,7,1.87,PL,1738791777
91,ilulissat,69.2167,-51.1,-23.99,58,75,4.12,GL,1738791778
92,tolanaro,-25.0319,46.9987,26.04,83,40,3.09,MG,1738791780
93,roxas city,11.5853,122.7511,25.16,86,94,3.38,PH,1738791781
94,waitangi,-43.9535,-176.5597,14.34,84,92,3.13,NZ,1738791782
95,jinjiang,24.8198,118.5741,12.28,56,99,2.73,CN,1738791783
96,thompson,55.7435,-97.8558,-13.91,56,75,6.69,CA,1738791784
97,cozumel,20.5083,-86.9458,28.04,74,75,5.66,MX,1738791785
98,krasnogvardeyskoye,45.8456,41.5186,0.22,66,99,5.14,RU,1738791787
99,kargopol',61.5071,38.9456,-9.71,98,100,2.75,RU,1738791788
100,bonthe,7.5264,-12.505,25.03,80,11,3.94,SL,1738791789
101,port lincoln,-34.7333,135.8667,18.86,76,0,4.13,AU,1738791790
102,goundam,16.4145,-3.6708,21.96,16,94,4.67,ML,1738791791
103,kendari,-3.945,122.4989,23.99,95,100,0.73,ID,1738791793
104,vilyuchinsk,52.9306,158.4028,1.15,86,100,8.2,RU,1738791794
105,brookings,44.3114,-96.7984,-7.68,77,100,3.6,US,1738791795
106,grafton,42.207,-71.6856,-2.8,40,0,5.14,US,1738791796
107,mossendjo,-2.9506,12.7261,21.51,98,88,1.0,CG,1738791797
108,constantia,44.1833,28.65,-3.5,64,21,6.05,RO,1738791798
109,norrtalje,59.758,18.705,1.68,88,20,2.46,SE,1738791800
110,kodiak,57.79,-152.4072,-1.27,86,0,0.0,US,1738791801
111,aykhal,66.0,111.5,-25.03,100,99,2.07,RU,1738791802
112,kapuskasing,49.4169,-82.4331,-7.95,48,75,8.75,CA,1738791804
113,villa gesell,-37.2639,-56.973,19.1,78,100,8.75,AR,1738791806
114,vila velha,-20.3297,-40.2925,27.97,69,0,7.2,BR,1738791807
115,sangre grande,10.5835,-61.1177,27.98,80,0,3.05,TT,1738791808
116,invercargill,-46.4,168.35,13.9,76,84,1.79,NZ,1738791605
117,laguna,38.421,-121.4238,13.9,47,0,2.57,US,1738791810
118,tocopilla,-22.092,-70.1979,22.27,74,25,2.08,CL,1738791812
119,vryburg,-26.9566,24.7284,24.25,49,78,6.08,ZA,1738791813
120,abbeville,50.1,1.8333,4.6,87,100,1.26,FR,1738791814
121,koryazhma,61.3143,47.1691,-3.54,91,100,1.77,RU,1738791815
122,jwaneng,-24.6004,24.7303,24.85,41,88,4.26,BW,1738791816
123,yichun,47.7,128.9,-21.02,98,100,2.08,CN,1738791817
124,hanko,59.8333,22.95,3.24,98,100,5.81,FI,1738791819
125,whitehorse,60.7161,-135.0538,-20.57,84,75,2.57,CA,1738791820
126,nidzica,53.3605,20.4275,1.31,90,100,3.4,PL,1738791821
127,miyako,39.6367,141.9525,-1.94,54,57,10.35,JP,1738791735
128,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,34,75,6.0,RU,1738791823
129,kingston,17.997,-76.7936,31.53,48,20,2.57,JM,1738791606
130,new norfolk,-42.7826,147.0587,14.95,59,44,0.87,AU,1738791826
131,peace river,56.2501,-117.286,-22.83,77,100,6.17,CA,1738791827
132,happy valley-goose bay,53.3168,-60.3315,-17.83,50,20,3.09,CA,1738791829
133,sol'-iletsk,51.1631,54.9918,-8.54,85,66,6.33,RU,1738791831
134,adigrat,14.277,39.462,14.44,33,0,0.51,ET,1738791832
135,lamar,33.6668,-95.5836,20.5,84,100,4.12,US,1738791833
136,chibougamau,49.9168,-74.3659,-15.21,66,100,8.23,CA,1738791834
137,port alfred,-33.5906,26.891,20.1,99,100,0.89,ZA,1738791837
138,bel ombre,-4.6167,55.4167,24.91,94,40,2.57,SC,1738791838
139,sitka,57.0531,-135.33,3.94,56,0,0.0,US,1738791839
140,sarangani,5.4033,125.4636,27.77,73,100,0.68,PH,1738791840
141,kiamba,5.9894,124.6242,25.37,81,100,0.67,PH,1738791841
142,marang,5.2056,103.2059,23.95,84,93,0.78,MY,1738791842
143,kalengwa,-13.4659,25.0027,18.3,99,100,1.26,ZM,1738791844
144,pandan,14.0453,124.1694,24.58,93,88,6.24,PH,1738791845
145,horta,38.5333,-28.6333,17.8,96,75,5.36,PT,1738791846
146,selkirk,50.1436,-96.8845,-10.46,54,100,1.79,CA,1738791847
147,batouri,4.4333,14.3667,25.62,25,99,0.72,CM,1738791848
148,ronne,55.1009,14.7066,4.95,93,6,4.63,DK,1738791849
149,sena madureira,-9.0656,-68.6569,28.16,73,85,1.22,BR,1738791851
150,port mathurin,-19.6833,63.4167,26.88,78,3,2.68,MU,1738791852
151,ponta delgada,37.7333,-25.6667,18.44,100,75,4.12,PT,1738791853
152,puerto lempira,15.2667,-83.7667,30.08,70,40,4.63,HN,1738791854
153,vanimo,-2.6741,141.3028,25.38,90,100,1.3,PG,1738791855
154,nova vicosa,-17.8919,-39.3719,25.92,83,75,4.28,BR,1738791856
155,anadyr,64.75,177.4833,-37.72,73,0,5.0,RU,1738791858
156,phetchabun,16.25,101.0833,24.09,54,91,1.7,TH,1738791859
157,alotau,-10.3069,150.4462,27.97,79,100,3.55,PG,1738791860
158,okha,53.5739,142.9478,-2.98,87,100,12.38,RU,1738791861
159,el calafate,-50.3408,-72.2768,14.25,48,48,2.36,AR,1738791862
160,tommot,58.9564,126.2925,-43.64,100,96,0.24,RU,1738791863
161,kualakapuas,-3.0091,114.3876,22.98,97,98,1.24,ID,1738791865
162,tafuna,-14.3358,-170.72,29.97,70,75,2.06,AS,1738791866
163,planaltina,-15.4528,-47.6142,20.1,83,100,1.19,BR,1738791867
164,nabire,-3.3667,135.4833,23.84,90,100,0.89,ID,1738791868
165,cafayate,-26.073,-65.9761,29.38,31,77,4.94,AR,1738791869
166,tazovsky,67.4667,78.7,-19.66,98,50,3.19,RU,1738791870
167,uttarkashi,30.7333,78.45,2.04,49,0,3.25,IN,1738791872
168,kilindoni,-7.9139,39.6668,27.1,78,100,7.75,TZ,1738791873
169,pocahontas,36.2615,-90.9712,7.93,98,100,2.06,US,1738791874
170,cooma,-36.2333,149.1333,19.22,73,11,1.6,AU,1738791875
171,nogliki,51.8333,143.1667,-1.74,95,100,13.56,RU,1738791876
172,kailua-kona,19.6406,-155.9956,26.82,66,40,3.09,US,1738791878
173,newport,51.5877,-2.9984,5.3,88,66,3.95,GB,1738791879
174,rio grande,-32.035,-52.0986,25.85,87,0,8.89,BR,1738791880
175,porto novo,6.4965,2.6036,28.9,84,42,3.9,BJ,1738791881
176,kununurra,-15.7667,128.7333,26.99,78,100,3.09,AU,1738791882
177,waajid,3.8096,43.2463,26.38,39,65,5.91,SO,1738791883
178,marathon,44.9,-89.7668,-5.87,66,0,4.63,US,1738791885
179,rockland,41.1668,-74.0496,0.47,41,100,0.45,US,1738791886
180,tual,-5.6667,132.75,28.29,77,100,9.85,ID,1738791887
181,mujiayingzi,42.1167,118.7833,-16.29,77,0,3.03,CN,1738791888
182,jaisalmer,26.9147,70.9181,15.88,16,0,3.32,IN,1738791889
183,vila franca do campo,37.7167,-25.4333,18.27,99,100,2.02,PT,1738791890
184,margaret river,-33.95,115.0667,19.12,80,0,7.79,AU,1738791892
185,san luis de la loma,17.2706,-100.8939,29.21,53,0,3.56,MX,1738791893
186,ndjole,-0.1783,10.7649,24.76,97,97,0.68,GA,1738791894
187,surazh,53.0175,32.3918,-2.58,84,44,3.89,RU,1738791895
188,letlhakane,-21.4167,25.5833,25.86,38,5,1.62,BW,1738791896
189,st. john's,47.5649,-52.7093,-7.79,73,75,10.29,CA,1738791898
190,raahe,64.6833,24.4833,-2.59,96,100,3.71,FI,1738791899
191,tralee,52.2704,-9.7026,3.07,88,1,2.31,IE,1738791900
192,iskateley,67.6803,53.1512,-8.92,92,83,7.42,RU,1738791901
193,teluk intan,4.0259,101.0213,22.01,93,88,1.06,MY,1738791902
194,weyburn,49.6668,-103.8511,-15.88,85,100,2.57,CA,1738791903
195,bamboo flat,11.7,92.7167,24.05,94,40,1.03,IN,1738791905
196,minas de marcona,-15.2119,-75.1103,21.64,65,94,6.71,PE,1738791906
197,yellowknife,62.456,-114.3525,-3.66,88,100,5.66,CA,1738791907
198,luderitz,-26.6481,15.1594,20.06,69,92,11.22,NA,1738791908
199,tazacorte,28.629,-17.9293,18.54,77,75,4.63,ES,1738791909
200,la prairie,45.4168,-73.4992,-12.16,56,0,9.26,CA,1738791912
201,safi,32.1667,-8.8333,11.07,71,1,3.88,MA,1738791913
202,sao joao da barra,-21.6403,-41.0511,27.05,84,0,7.94,BR,1738791914
203,chonchi,-42.6128,-73.8092,17.84,67,81,2.89,CL,1738791915
204,vilyuysk,63.7553,121.6247,-45.98,100,61,1.36,RU,1738791916
205,leirvik,59.7798,5.5005,2.48,82,69,3.29,NO,1738791918
206,monywa,22.1167,95.1333,19.06,58,2,2.76,MM,1738791919
207,amga,60.8953,131.9608,-43.28,100,85,0.54,RU,1738791920
208,pontianak,-0.0333,109.3333,23.99,100,100,1.03,ID,1738791921
209,miquelon,47.0975,-56.3814,-7.3,69,99,12.57,PM,1738791922
210,sinabang,2.4803,96.3801,25.95,83,97,1.35,ID,1738791924
211,fada,7.25,4.0667,25.3,85,41,1.12,NG,1738791925
212,colonia,50.9333,6.95,4.03,92,100,0.51,DE,1738791897
213,carnarvon,-24.8667,113.6333,26.05,77,5,7.28,AU,1738791927
214,mejit,10.2753,170.8646,26.36,85,100,10.17,MH,1738791928
215,neryungri,56.6709,124.6491,-31.5,99,99,2.14,RU,1738791929
216,marsabit,2.3284,37.9899,21.51,31,100,4.31,KE,1738791931
217,fort bragg,35.139,-79.006,11.75,60,100,4.63,US,1738791932
218,mao,39.8885,4.2658,9.31,81,75,2.06,ES,1738791933
219,saipan,15.1355,145.701,27.39,78,0,5.14,MP,1738791935
220,herencia,39.2831,-3.4145,7.12,53,0,2.12,ES,1738791937
221,el alto,-4.2714,-81.2147,22.85,73,21,6.03,PE,1738791938
222,hasaki,35.7333,140.8333,3.57,34,0,7.44,JP,1738791939
223,praia da vitoria,38.7333,-27.0667,18.14,88,20,4.03,PT,1738791940
224,lloydminster,53.2835,-110.0016,-19.88,77,100,3.6,CA,1738791941
225,christchurch,-43.5333,172.6333,18.28,82,20,5.66,NZ,1738791823
226,pervomaysk,48.0443,30.8507,-1.43,71,97,4.01,UA,1738791944
227,pitimbu,-7.4706,-34.8086,26.27,84,92,6.75,BR,1738791945
228,pangody,65.85,74.4859,-17.28,98,99,3.55,RU,1738791946
229,abepura,-2.6333,140.5833,23.45,100,20,0.51,ID,1738791947
230,chatham,51.3789,0.5279,6.74,88,100,2.81,GB,1738791948
231,hotan,37.0997,79.9269,-2.58,47,100,0.95,CN,1738791949
232,bilibino,68.0546,166.4372,-42.03,96,7,1.14,RU,1738791951
233,oranjemund,-28.55,16.4333,17.0,82,29,8.66,NA,1738791952
234,nampula,-15.1165,39.2666,20.74,95,98,0.06,MZ,1738791953
235,boa vista,2.8197,-60.6733,31.99,48,40,4.63,BR,1738791954
236,butembo,0.15,29.2833,18.23,52,100,1.04,CD,1738791955
237,kodinsk,58.6881,99.1844,-16.31,97,100,1.28,RU,1738791956
238,batticaloa,7.7102,81.6924,25.11,74,42,3.77,LK,1738791958
239,ghanzi,-21.5667,21.7833,25.61,34,6,3.49,BW,1738791959
240,saint-pierre,-21.3393,55.4781,26.82,83,20,2.06,RE,1738791960
241,holualoa,19.6228,-155.9522,24.75,66,40,3.09,US,1738791961
242,kirensk,57.7853,108.1119,-41.16,100,73,0.98,RU,1738791962
243,ithaca,42.4406,-76.4966,-3.27,66,100,0.45,US,1738791964
244,utrik,11.2278,169.8474,26.2,83,100,9.63,MH,1738791965
245,hilo,19.7297,-155.09,24.49,77,75,4.12,US,1738791875
246,cabo san lucas,22.8909,-109.9124,26.17,36,0,3.09,MX,1738791670
247,afaahiti,-17.75,-149.2833,26.04,80,88,6.29,PF,1738791970
248,wangjing,24.6,94.0333,8.28,91,2,0.27,IN,1738791971
249,sicklerville,39.7173,-74.9693,2.58,44,100,0.8,US,1738791972
250,nuuk,64.1835,-51.7216,-13.66,72,75,3.09,GL,1738791973
251,baley,51.6,116.6333,-31.9,100,98,1.32,RU,1738791974
252,olyokminsk,60.3736,120.4264,-41.03,100,87,0.44,RU,1738791975
253,bogande,12.9714,-0.1436,26.17,14,27,3.65,BF,1738791977
254,pathein,16.7833,94.7333,20.38,78,1,2.93,MM,1738791978
255,mount gambier,-37.8333,140.7667,17.03,81,11,2.68,AU,1738791979
256,kabompo,-13.5927,24.2008,19.0,98,100,1.29,ZM,1738791980
257,enshi,30.3,109.4833,4.86,97,100,0.65,CN,1738791983
258,portland,45.5234,-122.6762,6.36,85,100,6.17,US,1738791767
259,hermanus,-34.4187,19.2345,15.45,57,100,4.99,ZA,1738791985
260,saint-francois,46.4154,3.9054,3.69,94,100,1.03,FR,1738791987
261,harstad,68.799,16.5293,0.64,91,37,3.58,NO,1738791989
262,nadi,-17.8,177.4167,26.0,83,75,4.12,FJ,1738791990
263,nemuro,43.3236,145.575,-0.12,73,10,9.56,JP,1738791951
264,lotoshino,56.2267,35.6414,-1.34,84,100,1.81,RU,1738791992
265,sur,22.5667,59.5289,18.94,56,57,1.74,OM,1738791993
266,mogocha,53.7333,119.7667,-24.52,90,87,2.32,RU,1738791994
267,tura,25.5198,90.2201,15.47,61,0,1.85,IN,1738791996
268,kromy,52.6876,35.7667,-4.74,94,77,2.69,RU,1738791997
269,shingu,33.7333,135.9833,-0.04,63,10,5.34,JP,1738791998
270,fale old settlement,-9.3852,-171.2468,28.45,75,97,7.79,TK,1738791999
271,sabang,5.8933,95.3214,27.53,76,78,5.65,ID,1738792002
272,tabou,4.423,-7.3528,26.9,85,8,3.66,CI,1738792003
273,dudinka,69.4058,86.1778,-21.81,98,99,3.41,RU,1738792004
274,lubango,-14.9172,13.4925,16.56,95,100,0.78,AO,1738792005
275,laguna de perlas,12.3429,-83.6712,25.3,89,1,6.6,NI,1738792006
276,cogan,10.5931,124.0178,24.25,88,100,1.27,PH,1738792007
277,namibe,-15.1961,12.1522,23.31,83,100,2.17,AO,1738792009
